reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp
-5440.611111111113,0.9559328248389055,719,0.7717391304347826,0.20833333333333334,3507,0,21.26846727044924,15,2026-05-10T19:32:04.644990
-5390.16666666666,0.9530650263643888,719,1.2,0.2222222222222222,3510,0,21.9938046862585,16,2026-05-10T19:32:39.440566
-5418.33333333333,0.9502058312852957,719,0.6097560975609756,0.1527777777777778,3517,0,22.964546762023417,17,2026-05-10T19:33:12.575320
-6118.111111111117,0.9473552137914398,719,1.6421052631578947,0.3472222222222222,3504,0,22.195166815968648,18,2026-05-10T19:33:45.328407
-5628.777777777772,0.9445131481500655,719,0.38202247191011235,0.125,3511,0,22.66505843707683,19,2026-05-10T19:34:17.762267
-6083.4999999999945,0.9416796087056153,719,2.0,0.2916666666666667,3508,0,23.06578537353388,20,2026-05-10T19:34:50.196936
-4973.944444444442,0.9388545698794984,719,0.24705882352941178,0.08333333333333333,3515,0,23.359868869330523,21,2026-05-10T19:35:23.179419
-5175.722222222221,0.93603800616986,719,0.4111111111111111,0.1111111111111111,3510,0,24.552920340165308,22,2026-05-10T19:35:56.044925
-5234.500000000004,0.9332298921513504,719,0.9247311827956989,0.2777777777777778,3507,0,24.61051276396644,23,2026-05-10T19:36:31.441507
-5094.500000000002,0.9304302024748964,719,2.630434782608696,0.2916666666666667,3507,0,24.70915738929462,24,2026-05-10T19:37:04.624776
-5558.666666666665,0.9276389118674717,719,0.4457831325301205,0.16666666666666666,3516,0,25.910334819215397,25,2026-05-10T19:37:37.584851
-4971.05555555556,0.9248559951318693,719,0.6521739130434783,0.20833333333333334,3508,0,25.258193558545702,26,2026-05-10T19:38:10.486166
-5901.333333333334,0.9220814271464737,719,1.6629213483146068,0.2916666666666667,3511,0,26.188390291450087,27,2026-05-10T19:38:45.119115
-4949.166666666668,0.9193151828650342,719,0.797752808988764,0.20833333333333334,3511,0,26.91844561103322,28,2026-05-10T19:39:18.047515
