============================================================
Training independent_dqn on grid_3x3
Net: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.net.xml
Route: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.rou.xml
Episodes: 200
Seed: 46 | Deterministic: True
============================================================
Number of agents (traffic lights): 9
Traffic light IDs: ['A1', 'B0', 'A0', 'A2', 'B1', 'B2', 'C0', 'C1', 'C2']
Observation dim: 43
Number of actions: 2
Number of lanes per intersection: 8
Adjacency matrix:
[[1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 0. 1. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 1. 0.]
 [0. 0. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 1. 0. 1. 1.]]
Episode   63 | reward: -4497.0556 | epsilon: 0.8276 | steps: 719 | avg_delay: 1.2386 | avg_queue: 0.2083 | throughput: 3511 | emergency_stops: 0 | loss_rl: 28.8699
Episode   64 | reward: -4102.7222 | epsilon: 0.8251 | steps: 719 | avg_delay: 0.3977 | avg_queue: 0.0694 | throughput: 3511 | emergency_stops: 0 | loss_rl: 28.8770
Episode   65 | reward: -4084.5556 | epsilon: 0.8226 | steps: 719 | avg_delay: 2.8111 | avg_queue: 0.3750 | throughput: 3510 | emergency_stops: 0 | loss_rl: 28.7698
Episode   66 | reward: -4180.7778 | epsilon: 0.8201 | steps: 719 | avg_delay: 0.3488 | avg_queue: 0.1250 | throughput: 3513 | emergency_stops: 0 | loss_rl: 28.4924
Episode   67 | reward: -4403.5000 | epsilon: 0.8177 | steps: 719 | avg_delay: 0.3548 | avg_queue: 0.1250 | throughput: 3506 | emergency_stops: 0 | loss_rl: 28.0478
Episode   68 | reward: -4143.2222 | epsilon: 0.8152 | steps: 719 | avg_delay: 0.3936 | avg_queue: 0.1111 | throughput: 3506 | emergency_stops: 0 | loss_rl: 28.5269
Episode   69 | reward: -4051.2222 | epsilon: 0.8128 | steps: 719 | avg_delay: 1.1667 | avg_queue: 0.2361 | throughput: 3510 | emergency_stops: 0 | loss_rl: 28.2468
Episode   70 | reward: -4143.5000 | epsilon: 0.8103 | steps: 719 | avg_delay: 0.1529 | avg_queue: 0.0833 | throughput: 3515 | emergency_stops: 0 | loss_rl: 28.0260
Episode   71 | reward: -3805.6667 | epsilon: 0.8079 | steps: 719 | avg_delay: 0.8090 | avg_queue: 0.1806 | throughput: 3511 | emergency_stops: 0 | loss_rl: 28.2098
Episode   72 | reward: -4103.5556 | epsilon: 0.8055 | steps: 719 | avg_delay: 0.6154 | avg_queue: 0.1389 | throughput: 3509 | emergency_stops: 0 | loss_rl: 28.0339
