reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp
-5006.166666666665,0.90289112180858,719,1.6436781609195403,0.2222222222222222,3513,0,52.397733168409665,52.39581013919581,0.006410089820126002,34,2026-05-10T10:11:28.882072
-5254.944444444443,0.9001824484431542,719,0.8791208791208791,0.19444444444444445,3508,0,52.53895502262885,52.53703715041881,0.00639289975171502,35,2026-05-10T10:12:54.498625
-4667.222222222222,0.8974819010978248,719,2.011627906976744,0.2222222222222222,3514,0,51.61892618754975,51.61701418063571,0.006373403326417831,36,2026-05-10T10:14:20.175771
-4980.611111111114,0.8947894553945313,719,1.441860465116279,0.25,3514,0,52.53013412677197,52.528236617299214,0.006324804420369225,37,2026-05-10T10:15:48.855151
-5048.888888888881,0.8921050870283477,719,2.1294117647058823,0.3194444444444444,3515,2,52.25376841952307,52.25186110272361,0.006357789770810138,38,2026-05-10T10:17:14.674908
-5109.333333333334,0.8894287717672626,719,0.3626373626373626,0.1388888888888889,3509,0,51.664165377451084,51.66225548214972,0.006366242590504122,39,2026-05-10T10:18:41.024878
-5232.444444444444,0.8867604854519608,719,1.3604651162790697,0.2361111111111111,3514,0,51.30244122957487,51.30054079143328,0.00633473445237802,40,2026-05-10T10:20:07.402858
-4572.1666666666715,0.884100203995605,719,1.0421052631578946,0.20833333333333334,3505,0,50.83733741696587,50.83543572140668,0.006338924291946502,41,2026-05-10T10:21:33.706514
-4788.944444444451,0.8814479033836181,719,0.7790697674418605,0.18055555555555555,3514,1,51.28727651073472,51.28539205559106,0.006281560867822759,42,2026-05-10T10:23:02.714665
-5348.111111111114,0.8788035596734672,719,0.75,0.19444444444444445,3512,0,50.89465747721835,50.89275471258893,0.006342894742226484,43,2026-05-10T10:24:28.736940
-4974.8888888888905,0.8761671489944468,719,1.1785714285714286,0.20833333333333334,3515,0,52.094338781810436,52.09244840035684,0.006300960100736464,44,2026-05-10T10:25:54.594367
-4742.666666666667,0.8735386475474635,719,0.8192771084337349,0.19444444444444445,3516,0,50.447066263297,50.44517119968717,0.006316823610888278,45,2026-05-10T10:27:20.728143
-4688.111111111112,0.8709180316048211,719,2.7888888888888888,0.3194444444444444,3509,0,51.55434298349521,51.55245915440757,0.0062796377560048675,46,2026-05-10T10:28:46.569394
-4874.833333333329,0.8683052775100066,719,1.3103448275862069,0.25,3513,0,52.599444862864445,52.597569822436085,0.006250174819091555,47,2026-05-10T10:30:12.071959
-4863.222222222223,0.8657003616774767,719,0.5,0.1527777777777778,3515,0,51.92060902188318,51.918735971039624,0.006243615447490454,48,2026-05-10T10:31:38.808625
-4754.388888888887,0.8631032605924442,719,1.6734693877551021,0.25,3502,0,51.09170451582058,51.08982573232001,0.006262625697792944,49,2026-05-10T10:33:05.736627
-4877.555555555555,0.860513950810667,719,0.1411764705882353,0.09722222222222222,3515,0,51.96348886927577,51.961614250639386,0.006248800843689844,50,2026-05-10T10:34:31.783197
-4546.444444444448,0.857932408958235,719,1.3409090909090908,0.2222222222222222,3511,0,52.397309662735346,52.39543816642072,0.006238230980766914,51,2026-05-10T10:36:01.494680
-4796.38888888889,0.8553586117313603,719,2.4505494505494507,0.3611111111111111,3509,0,51.66097426116052,51.65911136250502,0.0062093538781356,52,2026-05-10T10:37:30.718787
-4273.944444444448,0.8527925358961662,719,0.9534883720930233,0.1111111111111111,3513,0,50.03342118880016,50.03156416605179,0.0061898805338355695,53,2026-05-10T10:38:57.271643
-4419.77777777778,0.8502341582884777,719,1.7640449438202248,0.25,3511,0,50.51250557242912,50.51065616846416,0.00616460410367713,54,2026-05-10T10:40:27.480974
-4558.777777777775,0.8476834558136123,719,0.963855421686747,0.16666666666666666,3516,0,49.64459178378088,49.642734593907385,0.006190258732404928,55,2026-05-10T10:41:54.394556
-4163.833333333331,0.8451404054461714,719,0.8,0.19444444444444445,3510,0,50.75350738864947,50.75166323188283,0.006147153112099549,56,2026-05-10T10:43:20.344055
-4717.500000000002,0.8426049842298329,719,0.5,0.125,3509,0,51.71038657866201,51.708539957462996,0.006155215148064042,57,2026-05-10T10:44:50.612790
-4653.444444444443,0.8400771692771434,719,0.33707865168539325,0.1111111111111111,3510,0,49.58574997234742,49.58391455649003,0.006118097649537473,58,2026-05-10T10:46:17.282689
-3985.277777777777,0.837556937769312,719,0.16279069767441862,0.08333333333333333,3514,0,49.08005643852563,49.078226131922015,0.00610088060385909,59,2026-05-10T10:47:43.330108
-4678.777777777782,0.835044266956004,719,1.0348837209302326,0.25,3514,0,47.64407886881822,47.64224385087778,0.00611655490268255,60,2026-05-10T10:49:14.077792
-4295.722222222218,0.8325391341551359,719,0.5121951219512195,0.1527777777777778,3517,0,49.389049012737246,49.38722766722359,0.006071205519694156,61,2026-05-10T10:50:39.957463
-4100.666666666664,0.8300415167526705,719,1.0222222222222221,0.2222222222222222,3509,0,49.53618512266369,49.53436520169275,0.006066163363885937,62,2026-05-10T10:52:07.436956
-4536.111111111108,0.8275513922024125,719,1.8522727272727273,0.3333333333333333,3512,0,48.770976160763034,48.76915324745656,0.006076532760596159,63,2026-05-10T10:53:35.488718
-4455.555555555556,0.8250687380258053,719,0.38372093023255816,0.08333333333333333,3514,0,48.603987726946364,48.602181669402356,0.006020188881459961,64,2026-05-10T10:55:02.030798
-4427.055555555554,0.8225935318117279,719,0.41379310344827586,0.1111111111111111,3511,0,48.38805405586253,48.38625217114105,0.00600633354241,65,2026-05-10T10:56:28.119031
-4458.388888888889,0.8201257512162927,719,1.2906976744186047,0.20833333333333334,3513,0,47.95952228710615,47.95771200103123,0.006034331663702103,66,2026-05-10T10:57:54.385960
-4363.2222222222235,0.8176653739626438,719,0.8913043478260869,0.19444444444444445,3508,0,48.06599471897343,48.06420568166423,0.005963809998713755,67,2026-05-10T10:59:20.633665
-4589.833333333328,0.8152123778407558,719,0.32954545454545453,0.08333333333333333,3511,1,49.111073317547664,49.10928473651658,0.005961913778673293,68,2026-05-10T11:00:46.855731
-4165.499999999998,0.8127667407072335,719,1.0689655172413792,0.25,3513,0,49.20458698140066,49.20280201610836,0.005949815341448917,69,2026-05-10T11:02:13.251729
-4489.611111111111,0.8103284404851119,719,0.40625,0.1388888888888889,3503,0,48.162209193796045,48.1604242072815,0.005949777339213373,70,2026-05-10T11:03:39.163202
-4578.3333333333385,0.8078974551636565,719,0.6588235294117647,0.1388888888888889,3513,0,47.18144761670448,47.17967161250214,0.005920283342886494,71,2026-05-10T11:05:05.444996
-4298.111111111115,0.8054737627981655,719,0.3076923076923077,0.16666666666666666,3509,0,45.62577298553,45.62399844831485,0.005915247432379795,72,2026-05-10T11:06:31.477001
-4108.055555555556,0.803057341509771,719,1.5168539325842696,0.2638888888888889,3511,0,46.50178508997295,46.50001859068041,0.005887899676050281,73,2026-05-10T11:07:57.918206
-6106391.166666665,0.8006481694852418,719,841.737400530504,15.48611111111111,2168,0,513615.07015868917,513615.0685494387,0.006222284364647469,74,2026-05-10T11:09:49.616139
-4322.777777777776,0.798246224976786,719,0.5204081632653061,0.1527777777777778,3501,0,2956214.092150546,2956214.090962369,0.010134946089237928,75,2026-05-10T11:11:17.130135
-3955.444444444444,0.7958514863018556,719,0.5542168674698795,0.125,3517,0,2141340.87842116,2141340.87712112,0.010617929435644676,76,2026-05-10T11:12:43.977232
-4144.111111111111,0.79346393184295,719,0.5393258426966292,0.16666666666666666,3509,0,1746915.092646799,1746915.0913698543,0.011553931470328271,77,2026-05-10T11:14:15.344347
-3953.999999999999,0.7910835400474212,719,0.6818181818181818,0.125,3512,0,1461262.5077412198,1461262.5064239104,0.0102642393691701,78,2026-05-10T11:15:41.437782
-3906.444444444441,0.7887102894272789,719,0.4659090909090909,0.16666666666666666,3512,0,1292629.7385165463,1292629.7371146556,0.008768692977923346,79,2026-05-10T11:17:13.569332
-4024.555555555559,0.7863441585589971,719,2.2705882352941176,0.375,3515,0,1121818.6587344077,1121818.6573954278,0.009190385023284812,80,2026-05-10T11:18:46.095037
-4269.944444444445,0.78398512608332,719,0.2235294117647059,0.09722222222222222,3514,0,2215748.653969851,2215748.6526641552,0.009390566452705562,81,2026-05-10T11:20:15.244210
-4217.111111111114,0.7816331707050701,719,1.4578313253012047,0.25,3516,0,2848764.376126346,2848764.3746811463,0.009927612486501355,82,2026-05-10T11:21:47.025390
-4422.444444444445,0.7792882711929549,719,0.3333333333333333,0.125,3507,0,4079807.1470524226,4079807.14569682,0.009439940520294104,83,2026-05-10T11:23:19.460424
-3813.2777777777815,0.776950406379376,719,0.4642857142857143,0.16666666666666666,3516,0,818502.0962154908,818502.0948071593,0.009072759858383092,84,2026-05-10T11:24:53.858007
-3886.8888888888923,0.7746195551602378,719,0.4166666666666667,0.08333333333333333,3514,0,2745888.2559765005,2745888.254612258,0.008541232237905802,85,2026-05-10T11:26:30.897704
-3765.8333333333285,0.7722956964947572,719,1.4642857142857142,0.19444444444444445,3516,0,894106.5164826437,894106.5151520943,0.009250529330633115,86,2026-05-10T11:27:40.094443
-4121.66666666667,0.7699788094052729,719,0.43333333333333335,0.16666666666666666,3510,0,759141.6801126637,759141.6787248885,0.009941524059171057,87,2026-05-10T11:28:41.115207
-4329.055555555556,0.767668872977057,719,2.318681318681319,0.2777777777777778,3509,2,870896.5784708164,870896.5771371552,0.00942481113714328,88,2026-05-10T11:29:38.015118
-4202.166666666668,0.7653658663581259,719,1.3977272727272727,0.2638888888888889,3512,0,648892.711424301,648892.7100063,0.008916252830890894,89,2026-05-10T11:30:34.689676
-3704.9444444444475,0.7630697687590515,719,0.6555555555555556,0.20833333333333334,3509,0,891338.5104432935,891338.5090605373,0.008733736331702853,90,2026-05-10T11:31:39.296768
-4142.166666666666,0.7607805594527743,719,1.197674418604651,0.2361111111111111,3513,0,17281853.685692094,17281853.684367742,0.009141809475428123,91,2026-05-10T11:32:46.040697
-4070.499999999997,0.7584982177744161,719,1.1702127659574468,0.2777777777777778,3505,0,6379833.207209568,6379833.205875134,0.008651070641962518,92,2026-05-10T11:33:50.665599
-3738.277777777783,0.7562227231210928,719,0.6067415730337079,0.1527777777777778,3511,0,771642.86102852,771642.8597296979,0.00844139501747775,93,2026-05-10T11:34:46.482890
-4218.611111111113,0.7539540549517295,719,0.40476190476190477,0.1111111111111111,3516,0,1010238.7768390693,1010238.7755632706,0.008441757123855167,94,2026-05-10T11:35:51.253321
-4200.666666666667,0.7516921927868743,719,1.3333333333333333,0.2222222222222222,3513,0,862215.648125167,862215.6467630601,0.008499636451463748,95,2026-05-10T11:36:57.798707
-4089.0555555555566,0.7494371162085136,719,0.7362637362637363,0.20833333333333334,3509,0,8724926.573304256,8724926.572027251,0.008713727024214158,96,2026-05-10T11:37:54.290591
-3921.388888888888,0.747188804859888,719,0.8526315789473684,0.2222222222222222,3505,0,886392.8456716737,886392.8443479312,0.00842196136384021,97,2026-05-10T11:39:01.548243
-4121.66666666666,0.7449472384453084,719,0.5760869565217391,0.16666666666666666,3507,0,976870.6341278702,976870.632796265,0.00904027826213621,98,2026-05-10T11:40:06.158441
